n,snr_db,epsilon,C,nct,chi2,rcu,kappabeta_v2,gallager,normal,best_ach,gap_nct_rcu
50,-3,0.01,0.2931,0.1478,0.153,0.1033,-0.0178,0.0,0.0992,rcu,0.0445
50,-3,0.001,0.2931,0.0978,0.1055,0.034,-0.1237,0.0,0.017,rcu,0.0638
50,-3,1e-06,0.2931,0.0264,0.0365,0.0,-0.3781,0.0,-0.162,rcu,0.0264
50,0,0.01,0.5,0.3138,0.3198,0.2727,0.1402,0.1074,0.2658,rcu,0.0411
50,0,0.001,0.5,0.2436,0.2535,0.1911,0.0146,0.041,0.1703,rcu,0.0526
50,0,1e-06,0.5,0.1194,0.1386,0.0,-0.2876,0.0,-0.0375,rcu,0.1194
50,3,0.01,0.7913,0.5778,0.5835,0.5383,0.3957,0.3377,0.5314,rcu,0.0395
50,3,0.001,0.7913,0.4943,0.5031,0.4464,0.2554,0.2712,0.4275,rcu,0.0479
50,3,1e-06,0.7913,0.3318,0.351,0.2349,-0.0854,0.0719,0.2014,rcu,0.0969
50,6,0.01,1.1582,0.9297,0.9361,0.8908,0.7401,0.6688,0.8859,rcu,0.0389
50,6,0.001,1.1582,0.8401,0.8479,0.7938,0.5917,0.6023,0.7779,rcu,0.0463
50,6,1e-06,1.1582,0.6605,0.6739,0.5749,0.2283,0.4029,0.5429,rcu,0.0856
100,-3,0.01,0.2931,0.1751,0.178,0.1558,0.0874,0.0664,0.1493,rcu,0.0193
100,-3,0.001,0.2931,0.1338,0.1384,0.1101,0.0184,0.0331,0.0912,rcu,0.0238
100,-3,1e-06,0.2931,0.063,0.071,0.0,-0.1419,0.0,-0.0354,rcu,0.063
100,0,0.01,0.5,0.3527,0.3559,0.3344,0.2611,0.2087,0.3277,rcu,0.0183
100,0,0.001,0.5,0.2983,0.3037,0.2773,0.1792,0.1746,0.2602,rcu,0.021
100,0,1e-06,0.5,0.194,0.2053,0.1581,-0.0129,0.0749,0.1133,rcu,0.0359
100,3,0.01,0.7913,0.6246,0.6277,0.6068,0.529,0.4525,0.6009,rcu,0.0178
100,3,0.001,0.7913,0.5618,0.5664,0.5419,0.4378,0.4112,0.5274,rcu,0.0199
100,3,1e-06,0.7913,0.4351,0.445,0.406,0.2221,0.3097,0.3675,rcu,0.029
100,6,0.01,1.1582,0.9812,0.9846,0.9636,0.882,0.7952,0.959,rcu,0.0176
100,6,0.001,1.1582,0.9144,0.9186,0.8949,0.7859,0.7503,0.8826,rcu,0.0195
100,6,1e-06,1.1582,0.7774,0.7843,0.7504,0.5571,0.6442,0.7164,rcu,0.027
200,-3,0.01,0.2931,0.2005,0.202,0.1917,0.1541,0.1194,0.187,rcu,0.0088
200,-3,0.001,0.2931,0.168,0.1705,0.1582,0.1079,0.0997,0.1459,rcu,0.0098
200,-3,1e-06,0.2931,0.1067,0.1117,0.0915,0.0024,0.0497,0.0564,rcu,0.0152
200,0,0.01,0.5,0.3866,0.3883,0.3782,0.3384,0.281,0.3738,rcu,0.0085
200,0,0.001,0.5,0.3456,0.3484,0.3365,0.2837,0.254,0.3261,rcu,0.0092
200,0,1e-06,0.5,0.2633,0.2695,0.2515,0.1577,0.1936,0.2222,rcu,0.0118
200,3,0.01,0.7913,0.6644,0.666,0.6561,0.6142,0.5414,0.6523,rcu,0.0083
200,3,0.001,0.7913,0.6179,0.6203,0.609,0.5535,0.5098,0.6003,rcu,0.0089
200,3,1e-06,0.7913,0.5219,0.527,0.5111,0.4131,0.4366,0.4872,rcu,0.0107
200,6,0.01,1.1582,1.0242,1.026,1.0159,0.9723,0.8924,1.0129,rcu,0.0083
200,6,0.001,1.1582,0.9751,0.9773,0.9663,0.9086,0.8588,0.959,rcu,0.0088
200,6,1e-06,1.1582,0.8727,0.8762,0.8623,0.7603,0.7798,0.8414,rcu,0.0104
500,-3,0.01,0.2931,0.2284,0.2291,0.2252,0.2086,0.1742,0.2229,rcu,0.0032
500,-3,0.001,0.2931,0.206,0.2071,0.2026,0.1806,0.159,0.1969,rcu,0.0034
500,-3,1e-06,0.2931,0.1607,0.1631,0.1567,0.1179,0.1251,0.1403,rcu,0.004
500,0,0.01,0.5,0.4223,0.423,0.4191,0.4017,0.3541,0.4171,rcu,0.0032
500,0,0.001,0.5,0.3949,0.396,0.3916,0.3688,0.3351,0.3869,rcu,0.0033
500,0,1e-06,0.5,0.3379,0.3405,0.3342,0.2945,0.2911,0.3212,rcu,0.0037
500,3,0.01,0.7913,0.7052,0.7058,0.702,0.6838,0.6272,0.7003,rcu,0.0031
500,3,0.001,0.7913,0.6746,0.6756,0.6713,0.6476,0.6058,0.6674,rcu,0.0033
500,3,1e-06,0.7913,0.61,0.6121,0.6065,0.5653,0.5554,0.5959,rcu,0.0036
500,6,0.01,1.1582,1.0678,1.0685,1.0646,1.0457,0.9847,1.0632,rcu,0.0031
500,6,0.001,1.1582,1.0356,1.0365,1.0324,1.0078,0.9622,1.0291,rcu,0.0032
500,6,1e-06,1.1582,0.9675,0.969,0.964,0.9214,0.9089,0.9547,rcu,0.0035
1000,-3,0.01,0.2931,0.2449,0.2452,0.2433,0.2345,0.2057,0.2421,rcu,0.0016
1000,-3,0.001,0.2931,0.2283,0.2289,0.2267,0.2151,0.1941,0.2237,rcu,0.0016
1000,-3,1e-06,0.2931,0.1939,0.1952,0.1922,0.1721,0.1674,0.1837,rcu,0.0018
1000,0,0.01,0.5,0.4426,0.443,0.4411,0.4319,0.3942,0.44,rcu,0.0015
1000,0,0.001,0.5,0.4227,0.4233,0.4211,0.4092,0.3801,0.4186,rcu,0.0016
1000,0,1e-06,0.5,0.3806,0.382,0.3789,0.3584,0.3469,0.3722,rcu,0.0017
1000,3,0.01,0.7913,0.7281,nan,0.7265,0.7072,0.6731,0.7256,rcu,0.0015
1000,3,0.001,0.7913,0.706,nan,0.7044,0.6793,0.6574,0.7024,rcu,0.0016
1000,3,1e-06,0.7913,0.6589,nan,0.6573,0.6139,0.6202,0.6518,rcu,0.0017
1000,6,0.01,1.1582,nan,nan,nan,1.0707,1.0335,1.0897,kappabeta_v2,nan
1000,6,0.001,1.1582,1.0688,nan,1.0673,1.0417,1.0171,1.0656,rcu,0.0015
1000,6,1e-06,1.1582,1.0195,nan,1.0178,0.9737,0.9782,1.013,rcu,0.0016
