curve,epsilon,n,snr_db,rate_bits
Shannon capacity,0.001,200,-8,0.106122
Shannon capacity,0.001,200,-7.2069,0.125629
Shannon capacity,0.001,200,-6.41379,0.148367
Shannon capacity,0.001,200,-5.62069,0.174747
Shannon capacity,0.001,200,-4.82759,0.205189
Shannon capacity,0.001,200,-4.03448,0.240111
Shannon capacity,0.001,200,-3.24138,0.279913
Shannon capacity,0.001,200,-2.44828,0.324959
Shannon capacity,0.001,200,-1.65517,0.375559
Shannon capacity,0.001,200,-0.862069,0.431954
Shannon capacity,0.001,200,-0.0689655,0.494295
Shannon capacity,0.001,200,0.724138,0.562642
Shannon capacity,0.001,200,1.51724,0.636954
Shannon capacity,0.001,200,2.31034,0.717092
Shannon capacity,0.001,200,3.10345,0.802832
Shannon capacity,0.001,200,3.89655,0.893875
Shannon capacity,0.001,200,4.68966,0.989864
Shannon capacity,0.001,200,5.48276,1.0904
Shannon capacity,0.001,200,6.27586,1.19508
Shannon capacity,0.001,200,7.06897,1.30347
Shannon capacity,0.001,200,7.86207,1.41516
Shannon capacity,0.001,200,8.65517,1.52976
Shannon capacity,0.001,200,9.44828,1.64691
Shannon capacity,0.001,200,10.2414,1.76625
Shannon capacity,0.001,200,11.0345,1.8875
Shannon capacity,0.001,200,11.8276,2.01039
Shannon capacity,0.001,200,12.6207,2.13466
Shannon capacity,0.001,200,13.4138,2.26012
Shannon capacity,0.001,200,14.2069,2.38659
Shannon capacity,0.001,200,15,2.5139
NCT converse (ours),0.001,200,-8,0.0365653
NCT converse (ours),0.001,200,-7.2069,0.0478435
NCT converse (ours),0.001,200,-6.41379,0.0619702
NCT converse (ours),0.001,200,-5.62069,0.0794553
NCT converse (ours),0.001,200,-4.82759,0.100841
NCT converse (ours),0.001,200,-4.03448,0.126687
NCT converse (ours),0.001,200,-3.24138,0.157545
NCT converse (ours),0.001,200,-2.44828,0.193939
NCT converse (ours),0.001,200,-1.65517,0.236331
NCT converse (ours),0.001,200,-0.862069,0.285094
NCT converse (ours),0.001,200,-0.0689655,0.34049
NCT converse (ours),0.001,200,0.724138,0.402645
NCT converse (ours),0.001,200,1.51724,0.471551
NCT converse (ours),0.001,200,2.31034,0.547062
NCT converse (ours),0.001,200,3.10345,0.62891
NCT converse (ours),0.001,200,3.89655,0.716728
NCT converse (ours),0.001,200,4.68966,0.810076
NCT converse (ours),0.001,200,5.48276,0.908467
NCT converse (ours),0.001,200,6.27586,1.01139
NCT converse (ours),0.001,200,7.06897,1.11835
NCT converse (ours),0.001,200,7.86207,1.22886
NCT converse (ours),0.001,200,8.65517,1.34246
NCT converse (ours),0.001,200,9.44828,1.45874
NCT converse (ours),0.001,200,10.2414,1.57731
NCT converse (ours),0.001,200,11.0345,1.69785
NCT converse (ours),0.001,200,11.8276,1.82007
NCT converse (ours),0.001,200,12.6207,1.9437
NCT converse (ours),0.001,200,13.4138,2.06854
NCT converse (ours),0.001,200,14.2069,2.19439
NCT converse (ours),0.001,200,15,2.32109
RCU+ achievable (ours),0.001,200,-8,0.0233583
RCU+ achievable (ours),0.001,200,-7.2069,0.0355286
RCU+ achievable (ours),0.001,200,-6.41379,0.0503711
RCU+ achievable (ours),0.001,200,-5.62069,0.0684318
RCU+ achievable (ours),0.001,200,-4.82759,0.0902815
RCU+ achievable (ours),0.001,200,-4.03448,0.116501
RCU+ achievable (ours),0.001,200,-3.24138,0.147661
RCU+ achievable (ours),0.001,200,-2.44828,0.184298
RCU+ achievable (ours),0.001,200,-1.65517,0.226886
RCU+ achievable (ours),0.001,200,-0.862069,0.275806
RCU+ achievable (ours),0.001,200,-0.0689655,0.331327
RCU+ achievable (ours),0.001,200,0.724138,0.393584
RCU+ achievable (ours),0.001,200,1.51724,0.462569
RCU+ achievable (ours),0.001,200,2.31034,0.538143
RCU+ achievable (ours),0.001,200,3.10345,0.62004
RCU+ achievable (ours),0.001,200,3.89655,0.707896
RCU+ achievable (ours),0.001,200,4.68966,0.801273
RCU+ achievable (ours),0.001,200,5.48276,0.899685
RCU+ achievable (ours),0.001,200,6.27586,1.00263
RCU+ achievable (ours),0.001,200,7.06897,1.1096
RCU+ achievable (ours),0.001,200,7.86207,1.22012
RCU+ achievable (ours),0.001,200,8.65517,1.33372
RCU+ achievable (ours),0.001,200,9.44828,1.45
RCU+ achievable (ours),0.001,200,10.2414,1.56858
RCU+ achievable (ours),0.001,200,11.0345,1.68912
RCU+ achievable (ours),0.001,200,11.8276,1.81134
RCU+ achievable (ours),0.001,200,12.6207,1.93498
RCU+ achievable (ours),0.001,200,13.4138,2.05981
RCU+ achievable (ours),0.001,200,14.2069,2.18566
RCU+ achievable (ours),0.001,200,15,2.31236
Gallager achievable (avg err),0.001,200,-8,0
Gallager achievable (avg err),0.001,200,-7.2069,0
Gallager achievable (avg err),0.001,200,-6.41379,0.0127956
Gallager achievable (avg err),0.001,200,-5.62069,0.0278482
Gallager achievable (avg err),0.001,200,-4.82759,0.045599
Gallager achievable (avg err),0.001,200,-4.03448,0.0665201
Gallager achievable (avg err),0.001,200,-3.24138,0.0911972
Gallager achievable (avg err),0.001,200,-2.44828,0.121046
Gallager achievable (avg err),0.001,200,-1.65517,0.157018
Gallager achievable (avg err),0.001,200,-0.862069,0.199657
Gallager achievable (avg err),0.001,200,-0.0689655,0.24932
Gallager achievable (avg err),0.001,200,0.724138,0.306253
Gallager achievable (avg err),0.001,200,1.51724,0.370494
Gallager achievable (avg err),0.001,200,2.31034,0.441968
Gallager achievable (avg err),0.001,200,3.10345,0.520391
Gallager achievable (avg err),0.001,200,3.89655,0.605373
Gallager achievable (avg err),0.001,200,4.68966,0.696421
Gallager achievable (avg err),0.001,200,5.48276,0.793045
Gallager achievable (avg err),0.001,200,6.27586,0.894632
Gallager achievable (avg err),0.001,200,7.06897,1.00059
Gallager achievable (avg err),0.001,200,7.86207,1.11035
Gallager achievable (avg err),0.001,200,8.65517,1.22351
Gallager achievable (avg err),0.001,200,9.44828,1.33962
Gallager achievable (avg err),0.001,200,10.2414,1.45815
Gallager achievable (avg err),0.001,200,11.0345,1.57876
Gallager achievable (avg err),0.001,200,11.8276,1.70117
Gallager achievable (avg err),0.001,200,12.6207,1.82509
Gallager achievable (avg err),0.001,200,13.4138,1.95029
Gallager achievable (avg err),0.001,200,14.2069,2.07647
Gallager achievable (avg err),0.001,200,15,2.20366
$\kappa\beta$ achievable v2 (max err),0.001,200,-8,-0.0208092
$\kappa\beta$ achievable v2 (max err),0.001,200,-7.2069,-0.010046
$\kappa\beta$ achievable v2 (max err),0.001,200,-6.41379,0.0036111
$\kappa\beta$ achievable v2 (max err),0.001,200,-5.62069,0.0206599
$\kappa\beta$ achievable v2 (max err),0.001,200,-4.82759,0.0416331
$\kappa\beta$ achievable v2 (max err),0.001,200,-4.03448,0.0670787
$\kappa\beta$ achievable v2 (max err),0.001,200,-3.24138,0.097536
$\kappa\beta$ achievable v2 (max err),0.001,200,-2.44828,0.133511
$\kappa\beta$ achievable v2 (max err),0.001,200,-1.65517,0.175449
$\kappa\beta$ achievable v2 (max err),0.001,200,-0.862069,0.22371
$\kappa\beta$ achievable v2 (max err),0.001,200,-0.0689655,0.278567
$\kappa\beta$ achievable v2 (max err),0.001,200,0.724138,0.340129
$\kappa\beta$ achievable v2 (max err),0.001,200,1.51724,0.408416
$\kappa\beta$ achievable v2 (max err),0.001,200,2.31034,0.483286
$\kappa\beta$ achievable v2 (max err),0.001,200,3.10345,0.564486
$\kappa\beta$ achievable v2 (max err),0.001,200,3.89655,0.651671
$\kappa\beta$ achievable v2 (max err),0.001,200,4.68966,0.744428
$\kappa\beta$ achievable v2 (max err),0.001,200,5.48276,0.842271
$\kappa\beta$ achievable v2 (max err),0.001,200,6.27586,0.944703
$\kappa\beta$ achievable v2 (max err),0.001,200,7.06897,1.05122
$\kappa\beta$ achievable v2 (max err),0.001,200,7.86207,1.16135
$\kappa\beta$ achievable v2 (max err),0.001,200,8.65517,1.27462
$\kappa\beta$ achievable v2 (max err),0.001,200,9.44828,1.39062
$\kappa\beta$ achievable v2 (max err),0.001,200,10.2414,1.50897
$\kappa\beta$ achievable v2 (max err),0.001,200,11.0345,1.62932
$\kappa\beta$ achievable v2 (max err),0.001,200,11.8276,1.75137
$\kappa\beta$ achievable v2 (max err),0.001,200,12.6207,1.87488
