curve,epsilon,snr_db,n,rate_bits
Shannon capacity,0.001,0.0,30,0.5
Shannon capacity,0.001,0.0,132,0.5
Shannon capacity,0.001,0.0,235,0.5
Shannon capacity,0.001,0.0,337,0.5
Shannon capacity,0.001,0.0,440,0.5
Shannon capacity,0.001,0.0,542,0.5
Shannon capacity,0.001,0.0,644,0.5
Shannon capacity,0.001,0.0,747,0.5
Shannon capacity,0.001,0.0,849,0.5
Shannon capacity,0.001,0.0,952,0.5
Shannon capacity,0.001,0.0,1054,0.5
Shannon capacity,0.001,0.0,1157,0.5
Shannon capacity,0.001,0.0,1259,0.5
Shannon capacity,0.001,0.0,1361,0.5
Shannon capacity,0.001,0.0,1464,0.5
Shannon capacity,0.001,0.0,1566,0.5
Shannon capacity,0.001,0.0,1669,0.5
Shannon capacity,0.001,0.0,1771,0.5
Shannon capacity,0.001,0.0,1873,0.5
Shannon capacity,0.001,0.0,1976,0.5
Shannon capacity,0.001,0.0,2078,0.5
Shannon capacity,0.001,0.0,2181,0.5
Shannon capacity,0.001,0.0,2283,0.5
Shannon capacity,0.001,0.0,2386,0.5
Shannon capacity,0.001,0.0,2488,0.5
Shannon capacity,0.001,0.0,2590,0.5
Shannon capacity,0.001,0.0,2693,0.5
Shannon capacity,0.001,0.0,2795,0.5
Shannon capacity,0.001,0.0,2898,0.5
Shannon capacity,0.001,0.0,3000,0.5
NCT converse (ours),0.001,0.0,30,0.200543
NCT converse (ours),0.001,0.0,132,0.318277
NCT converse (ours),0.001,0.0,235,0.355393
NCT converse (ours),0.001,0.0,337,0.37551
NCT converse (ours),0.001,0.0,440,0.388892
NCT converse (ours),0.001,0.0,542,0.398498
NCT converse (ours),0.001,0.0,644,0.405899
NCT converse (ours),0.001,0.0,747,0.411887
NCT converse (ours),0.001,0.0,849,0.416782
NCT converse (ours),0.001,0.0,952,0.420955
NCT converse (ours),0.001,0.0,1054,0.424507
NCT converse (ours),0.001,0.0,1157,0.427634
NCT converse (ours),0.001,0.0,1259,0.430365
NCT converse (ours),0.001,0.0,1361,0.432801
NCT converse (ours),0.001,0.0,1464,0.435011
NCT converse (ours),0.001,0.0,1566,0.436992
NCT converse (ours),0.001,0.0,1669,0.438814
NCT converse (ours),0.001,0.0,1771,0.440468
NCT converse (ours),0.001,0.0,1873,0.441991
NCT converse (ours),0.001,0.0,1976,0.443413
NCT converse (ours),0.001,0.0,2078,0.444721
NCT converse (ours),0.001,0.0,2181,0.445951
NCT converse (ours),0.001,0.0,2283,0.44709
NCT converse (ours),0.001,0.0,2386,0.448168
NCT converse (ours),0.001,0.0,2488,0.449172
NCT converse (ours),0.001,0.0,2590,0.450118
NCT converse (ours),0.001,0.0,2693,0.451021
NCT converse (ours),0.001,0.0,2795,0.451868
NCT converse (ours),0.001,0.0,2898,0.452678
NCT converse (ours),0.001,0.0,3000,0.453441
RCU$^+$ achievable (ours),0.001,0.0,30,0.0903705
RCU$^+$ achievable (ours),0.001,0.0,132,0.30334
RCU$^+$ achievable (ours),0.001,0.0,235,0.347783
RCU$^+$ achievable (ours),0.001,0.0,337,0.370428
RCU$^+$ achievable (ours),0.001,0.0,440,0.385098
RCU$^+$ achievable (ours),0.001,0.0,542,0.39547
RCU$^+$ achievable (ours),0.001,0.0,644,0.403381
RCU$^+$ achievable (ours),0.001,0.0,747,0.409738
RCU$^+$ achievable (ours),0.001,0.0,849,0.414905
RCU$^+$ achievable (ours),0.001,0.0,952,0.419292
RCU$^+$ achievable (ours),0.001,0.0,1054,0.423012
RCU$^+$ achievable (ours),0.001,0.0,1157,0.426278
RCU$^+$ achievable (ours),0.001,0.0,1259,0.429124
RCU$^+$ achievable (ours),0.001,0.0,1361,0.431657
RCU$^+$ achievable (ours),0.001,0.0,1464,0.43395
RCU$^+$ achievable (ours),0.001,0.0,1566,0.436003
RCU$^+$ achievable (ours),0.001,0.0,1669,0.437889
RCU$^+$ achievable (ours),0.001,0.0,1771,0.439598
RCU$^+$ achievable (ours),0.001,0.0,1873,0.44117
RCU$^+$ achievable (ours),0.001,0.0,1976,0.442636
RCU$^+$ achievable (ours),0.001,0.0,2078,0.443983
RCU$^+$ achievable (ours),0.001,0.0,2181,0.445249
RCU$^+$ achievable (ours),0.001,0.0,2283,0.446421
RCU$^+$ achievable (ours),0.001,0.0,2386,0.447529
RCU$^+$ achievable (ours),0.001,0.0,2488,0.44856
RCU$^+$ achievable (ours),0.001,0.0,2590,0.449531
RCU$^+$ achievable (ours),0.001,0.0,2693,0.450457
RCU$^+$ achievable (ours),0.001,0.0,2795,0.451324
RCU$^+$ achievable (ours),0.001,0.0,2898,0.452155
RCU$^+$ achievable (ours),0.001,0.0,3000,0.452936
Gallager achievable,0.001,0.0,30,0
Gallager achievable,0.001,0.0,132,0.208496
Gallager achievable,0.001,0.0,235,0.270203
Gallager achievable,0.001,0.0,337,0.303406
Gallager achievable,0.001,0.0,440,0.325348
Gallager achievable,0.001,0.0,542,0.341003
Gallager achievable,0.001,0.0,644,0.353027
Gallager achievable,0.001,0.0,747,0.362701
Gallager achievable,0.001,0.0,849,0.370575
Gallager achievable,0.001,0.0,952,0.377289
Gallager achievable,0.001,0.0,1054,0.382965
Gallager achievable,0.001,0.0,1157,0.38797
Gallager achievable,0.001,0.0,1259,0.392334
Gallager achievable,0.001,0.0,1361,0.39621
Gallager achievable,0.001,0.0,1464,0.399719
Gallager achievable,0.001,0.0,1566,0.402863
Gallager achievable,0.001,0.0,1669,0.405731
Gallager achievable,0.001,0.0,1771,0.408356
Gallager achievable,0.001,0.0,1873,0.410767
Gallager achievable,0.001,0.0,1976,0.412994
Gallager achievable,0.001,0.0,2078,0.41507
Gallager achievable,0.001,0.0,2181,0.416992
Gallager achievable,0.001,0.0,2283,0.418793
Gallager achievable,0.001,0.0,2386,0.420502
Gallager achievable,0.001,0.0,2488,0.422058
Gallager achievable,0.001,0.0,2590,0.423553
Gallager achievable,0.001,0.0,2693,0.424957
Gallager achievable,0.001,0.0,2795,0.4263
Gallager achievable,0.001,0.0,2898,0.427551
Gallager achievable,0.001,0.0,3000,0.428772
Normal approximation,0.001,0.0,30,0.0833326
Normal approximation,0.001,0.0,132,0.289057
Normal approximation,0.001,0.0,235,0.338665
Normal approximation,0.001,0.0,337,0.363739
Normal approximation,0.001,0.0,440,0.379826
Normal approximation,0.001,0.0,542,0.39111
Normal approximation,0.001,0.0,644,0.399663
Normal approximation,0.001,0.0,747,0.406499
Normal approximation,0.001,0.0,849,0.412033
Normal approximation,0.001,0.0,952,0.416713
Normal approximation,0.001,0.0,1054,0.42067
Normal approximation,0.001,0.0,1157,0.424135
Normal approximation,0.001,0.0,1259,0.427147
Normal approximation,0.001,0.0,1361,0.429821
Normal approximation,0.001,0.0,1464,0.432239
Normal approximation,0.001,0.0,1566,0.434399
Normal approximation,0.001,0.0,1669,0.43638
Normal approximation,0.001,0.0,1771,0.438172
Normal approximation,0.001,0.0,1873,0.439819
Normal approximation,0.001,0.0,1976,0.441353
Normal approximation,0.001,0.0,2078,0.442761
Normal approximation,0.001,0.0,2181,0.444083
Normal approximation,0.001,0.0,2283,0.445305
Normal approximation,0.001,0.0,2386,0.44646
Normal approximation,0.001,0.0,2488,0.447533
Normal approximation,0.001,0.0,2590,0.448544
Normal approximation,0.001,0.0,2693,0.449506
Normal approximation,0.001,0.0,2795,0.450408
Normal approximation,0.001,0.0,2898,0.45127
Normal approximation,0.001,0.0,3000,0.45208
