curve,epsilon,snr_db,n,rate_bits
Shannon capacity,0.001,0.0,20,0.5
Shannon capacity,0.001,0.0,24,0.5
Shannon capacity,0.001,0.0,28,0.5
Shannon capacity,0.001,0.0,33,0.5
Shannon capacity,0.001,0.0,37,0.5
Shannon capacity,0.001,0.0,41,0.5
Shannon capacity,0.001,0.0,45,0.5
Shannon capacity,0.001,0.0,49,0.5
Shannon capacity,0.001,0.0,54,0.5
Shannon capacity,0.001,0.0,58,0.5
Shannon capacity,0.001,0.0,62,0.5
Shannon capacity,0.001,0.0,66,0.5
Shannon capacity,0.001,0.0,71,0.5
Shannon capacity,0.001,0.0,75,0.5
Shannon capacity,0.001,0.0,79,0.5
Shannon capacity,0.001,0.0,83,0.5
Shannon capacity,0.001,0.0,87,0.5
Shannon capacity,0.001,0.0,92,0.5
Shannon capacity,0.001,0.0,96,0.5
Shannon capacity,0.001,0.0,100,0.5
NCT converse (ours),0.001,0.0,20,0.166028
NCT converse (ours),0.001,0.0,24,0.181513
NCT converse (ours),0.001,0.0,28,0.194658
NCT converse (ours),0.001,0.0,33,0.208665
NCT converse (ours),0.001,0.0,37,0.218383
NCT converse (ours),0.001,0.0,41,0.227058
NCT converse (ours),0.001,0.0,45,0.234872
NCT converse (ours),0.001,0.0,49,0.241968
NCT converse (ours),0.001,0.0,54,0.249991
NCT converse (ours),0.001,0.0,58,0.255835
NCT converse (ours),0.001,0.0,62,0.26124
NCT converse (ours),0.001,0.0,66,0.266262
NCT converse (ours),0.001,0.0,71,0.272069
NCT converse (ours),0.001,0.0,75,0.276382
NCT converse (ours),0.001,0.0,79,0.280434
NCT converse (ours),0.001,0.0,83,0.284251
NCT converse (ours),0.001,0.0,87,0.287856
NCT converse (ours),0.001,0.0,92,0.292094
NCT converse (ours),0.001,0.0,96,0.29529
NCT converse (ours),0.001,0.0,100,0.298329
$\chi^2$ converse (Polyanskiy),0.001,0.0,20,0.18749
$\chi^2$ converse (Polyanskiy),0.001,0.0,24,0.199977
$\chi^2$ converse (Polyanskiy),0.001,0.0,28,0.210895
$\chi^2$ converse (Polyanskiy),0.001,0.0,33,0.222802
$\chi^2$ converse (Polyanskiy),0.001,0.0,37,0.231209
$\chi^2$ converse (Polyanskiy),0.001,0.0,41,0.238802
$\chi^2$ converse (Polyanskiy),0.001,0.0,45,0.245709
$\chi^2$ converse (Polyanskiy),0.001,0.0,49,0.252031
$\chi^2$ converse (Polyanskiy),0.001,0.0,54,0.259233
$\chi^2$ converse (Polyanskiy),0.001,0.0,58,0.264513
$\chi^2$ converse (Polyanskiy),0.001,0.0,62,0.269422
$\chi^2$ converse (Polyanskiy),0.001,0.0,66,0.274002
$\chi^2$ converse (Polyanskiy),0.001,0.0,71,0.27932
$\chi^2$ converse (Polyanskiy),0.001,0.0,75,0.283286
$\chi^2$ converse (Polyanskiy),0.001,0.0,79,0.287023
$\chi^2$ converse (Polyanskiy),0.001,0.0,83,0.290554
$\chi^2$ converse (Polyanskiy),0.001,0.0,87,0.293896
$\chi^2$ converse (Polyanskiy),0.001,0.0,92,0.297836
$\chi^2$ converse (Polyanskiy),0.001,0.0,96,0.300814
$\chi^2$ converse (Polyanskiy),0.001,0.0,100,0.303651
RCU$^+$ achievable (ours),0.001,0.0,20,0
RCU$^+$ achievable (ours),0.001,0.0,24,0
RCU$^+$ achievable (ours),0.001,0.0,28,0.072533
RCU$^+$ achievable (ours),0.001,0.0,33,0.113022
RCU$^+$ achievable (ours),0.001,0.0,37,0.137532
RCU$^+$ achievable (ours),0.001,0.0,41,0.15738
RCU$^+$ achievable (ours),0.001,0.0,45,0.173876
RCU$^+$ achievable (ours),0.001,0.0,49,0.187876
RCU$^+$ achievable (ours),0.001,0.0,54,0.202736
RCU$^+$ achievable (ours),0.001,0.0,58,0.212994
RCU$^+$ achievable (ours),0.001,0.0,62,0.222107
RCU$^+$ achievable (ours),0.001,0.0,66,0.230281
RCU$^+$ achievable (ours),0.001,0.0,71,0.239415
RCU$^+$ achievable (ours),0.001,0.0,75,0.245999
RCU$^+$ achievable (ours),0.001,0.0,79,0.252042
RCU$^+$ achievable (ours),0.001,0.0,83,0.257617
RCU$^+$ achievable (ours),0.001,0.0,87,0.262785
RCU$^+$ achievable (ours),0.001,0.0,92,0.268746
RCU$^+$ achievable (ours),0.001,0.0,96,0.273166
RCU$^+$ achievable (ours),0.001,0.0,100,0.277312
Gallager achievable,0.001,0.0,20,0
Gallager achievable,0.001,0.0,24,0
Gallager achievable,0.001,0.0,28,0
Gallager achievable,0.001,0.0,33,0
Gallager achievable,0.001,0.0,37,0
Gallager achievable,0.001,0.0,41,0
Gallager achievable,0.001,0.0,45,0.0116882
Gallager achievable,0.001,0.0,49,0.035614
Gallager achievable,0.001,0.0,54,0.0605774
Gallager achievable,0.001,0.0,58,0.0775146
Gallager achievable,0.001,0.0,62,0.0923157
Gallager achievable,0.001,0.0,66,0.105316
Gallager achievable,0.001,0.0,71,0.119598
Gallager achievable,0.001,0.0,75,0.129639
Gallager achievable,0.001,0.0,79,0.138702
Gallager achievable,0.001,0.0,83,0.146912
Gallager achievable,0.001,0.0,87,0.154388
Gallager achievable,0.001,0.0,92,0.162811
Gallager achievable,0.001,0.0,96,0.168945
Gallager achievable,0.001,0.0,100,0.174591
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,20,-0.378186
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,24,-0.276426
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,28,-0.201188
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,33,-0.130301
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,37,-0.0858831
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,41,-0.0491179
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,45,-0.0180892
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,49,0.00851275
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,54,0.0369805
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,58,0.0567039
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,62,0.074239
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,66,0.0899668
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,71,0.107497
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,75,0.120098
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,79,0.131623
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,83,0.142201
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,87,0.151978
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,92,0.163189
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,96,0.171446
$\kappa\beta$ achievable (PPV-faithful),0.001,0.0,100,0.179167
Normal approximation,0.001,0.0,20,-0.00242458
Normal approximation,0.001,0.0,24,0.0382372
Normal approximation,0.001,0.0,28,0.069902
Normal approximation,0.001,0.0,33,0.101178
Normal approximation,0.001,0.0,37,0.12157
Normal approximation,0.001,0.0,41,0.138963
Normal approximation,0.001,0.0,45,0.154039
Normal approximation,0.001,0.0,49,0.167276
Normal approximation,0.001,0.0,54,0.181764
Normal approximation,0.001,0.0,58,0.192018
Normal approximation,0.001,0.0,62,0.201292
Normal approximation,0.001,0.0,66,0.209737
Normal approximation,0.001,0.0,71,0.219303
Normal approximation,0.001,0.0,75,0.226279
Normal approximation,0.001,0.0,79,0.232735
Normal approximation,0.001,0.0,83,0.238735
Normal approximation,0.001,0.0,87,0.244329
Normal approximation,0.001,0.0,92,0.25082
Normal approximation,0.001,0.0,96,0.255655
Normal approximation,0.001,0.0,100,0.260208
