curve,n,snr_db,epsilon,rate_bits
Shannon capacity,500,0.0,1e-12,0.5
Shannon capacity,500,0.0,2.87298e-12,0.5
Shannon capacity,500,0.0,8.25404e-12,0.5
Shannon capacity,500,0.0,2.37137e-11,0.5
Shannon capacity,500,0.0,6.81292e-11,0.5
Shannon capacity,500,0.0,1.95734e-10,0.5
Shannon capacity,500,0.0,5.62341e-10,0.5
Shannon capacity,500,0.0,1.6156e-09,0.5
Shannon capacity,500,0.0,4.64159e-09,0.5
Shannon capacity,500,0.0,1.33352e-08,0.5
Shannon capacity,500,0.0,3.83119e-08,0.5
Shannon capacity,500,0.0,1.10069e-07,0.5
Shannon capacity,500,0.0,3.16228e-07,0.5
Shannon capacity,500,0.0,9.08518e-07,0.5
Shannon capacity,500,0.0,2.61016e-06,0.5
Shannon capacity,500,0.0,7.49894e-06,0.5
Shannon capacity,500,0.0,2.15443e-05,0.5
Shannon capacity,500,0.0,6.18966e-05,0.5
Shannon capacity,500,0.0,0.000177828,0.5
Shannon capacity,500,0.0,0.000510897,0.5
Shannon capacity,500,0.0,0.0014678,0.5
Shannon capacity,500,0.0,0.00421697,0.5
Shannon capacity,500,0.0,0.0121153,0.5
Shannon capacity,500,0.0,0.034807,0.5
Shannon capacity,500,0.0,0.1,0.5
NCT converse (ours),500,0.0,1e-12,0.265909
NCT converse (ours),500,0.0,2.87298e-12,0.270378
NCT converse (ours),500,0.0,8.25404e-12,0.274973
NCT converse (ours),500,0.0,2.37137e-11,0.279704
NCT converse (ours),500,0.0,6.81292e-11,0.284579
NCT converse (ours),500,0.0,1.95734e-10,0.289609
NCT converse (ours),500,0.0,5.62341e-10,0.294805
NCT converse (ours),500,0.0,1.6156e-09,0.300181
NCT converse (ours),500,0.0,4.64159e-09,0.305752
NCT converse (ours),500,0.0,1.33352e-08,0.311535
NCT converse (ours),500,0.0,3.83119e-08,0.317548
NCT converse (ours),500,0.0,1.10069e-07,0.323817
NCT converse (ours),500,0.0,3.16228e-07,0.330367
NCT converse (ours),500,0.0,9.08518e-07,0.337231
NCT converse (ours),500,0.0,2.61016e-06,0.344449
NCT converse (ours),500,0.0,7.49894e-06,0.352067
NCT converse (ours),500,0.0,2.15443e-05,0.360145
NCT converse (ours),500,0.0,6.18966e-05,0.368759
NCT converse (ours),500,0.0,0.000177828,0.378006
NCT converse (ours),500,0.0,0.000510897,0.388019
NCT converse (ours),500,0.0,0.0014678,0.398979
NCT converse (ours),500,0.0,0.00421697,0.411156
NCT converse (ours),500,0.0,0.0121153,0.424969
NCT converse (ours),500,0.0,0.034807,0.441142
NCT converse (ours),500,0.0,0.1,0.461121
RCU+ achievable (ours),500,0.0,1.95734e-10,0
RCU+ achievable (ours),500,0.0,5.62341e-10,0.290657
RCU+ achievable (ours),500,0.0,1.6156e-09,0.296105
RCU+ achievable (ours),500,0.0,4.64159e-09,0.301744
RCU+ achievable (ours),500,0.0,1.33352e-08,0.307594
RCU+ achievable (ours),500,0.0,3.83119e-08,0.313673
RCU+ achievable (ours),500,0.0,1.10069e-07,0.320006
RCU+ achievable (ours),500,0.0,3.16228e-07,0.326618
RCU+ achievable (ours),500,0.0,9.08518e-07,0.333543
RCU+ achievable (ours),500,0.0,2.61016e-06,0.34082
RCU+ achievable (ours),500,0.0,7.49894e-06,0.348497
RCU+ achievable (ours),500,0.0,2.15443e-05,0.356633
RCU+ achievable (ours),500,0.0,6.18966e-05,0.365304
RCU+ achievable (ours),500,0.0,0.000177828,0.374609
RCU+ achievable (ours),500,0.0,0.000510897,0.384679
RCU+ achievable (ours),500,0.0,0.0014678,0.395697
RCU+ achievable (ours),500,0.0,0.00421697,0.407933
RCU+ achievable (ours),500,0.0,0.0121153,0.421808
RCU+ achievable (ours),500,0.0,0.034807,0.438046
RCU+ achievable (ours),500,0.0,0.1,0.458097
Gallager achievable (avg err),500,0.0,1e-12,0.230316
Gallager achievable (avg err),500,0.0,2.87298e-12,0.234192
Gallager achievable (avg err),500,0.0,8.25404e-12,0.23819
Gallager achievable (avg err),500,0.0,2.37137e-11,0.242279
Gallager achievable (avg err),500,0.0,6.81292e-11,0.24646
Gallager achievable (avg err),500,0.0,1.95734e-10,0.250763
Gallager achievable (avg err),500,0.0,5.62341e-10,0.255219
Gallager achievable (avg err),500,0.0,1.6156e-09,0.259766
Gallager achievable (avg err),500,0.0,4.64159e-09,0.264496
Gallager achievable (avg err),500,0.0,1.33352e-08,0.269348
