curve,n,snr_db,epsilon,rate_bits
Shannon capacity,200,3,1e-08,0.791341
Shannon capacity,200,3,2.48163e-08,0.791341
Shannon capacity,200,3,6.15848e-08,0.791341
Shannon capacity,200,3,1.52831e-07,0.791341
Shannon capacity,200,3,3.79269e-07,0.791341
Shannon capacity,200,3,9.41205e-07,0.791341
Shannon capacity,200,3,2.33572e-06,0.791341
Shannon capacity,200,3,5.79639e-06,0.791341
Shannon capacity,200,3,1.43845e-05,0.791341
Shannon capacity,200,3,3.5697e-05,0.791341
Shannon capacity,200,3,8.85867e-05,0.791341
Shannon capacity,200,3,0.000219839,0.791341
Shannon capacity,200,3,0.000545559,0.791341
Shannon capacity,200,3,0.00135388,0.791341
Shannon capacity,200,3,0.00335982,0.791341
Shannon capacity,200,3,0.00833782,0.791341
Shannon capacity,200,3,0.0206914,0.791341
Shannon capacity,200,3,0.0513483,0.791341
Shannon capacity,200,3,0.127427,0.791341
Shannon capacity,200,3,0.316228,0.791341
NCT converse (ours),200,3,1e-08,0.475053
NCT converse (ours),200,3,2.48163e-08,0.483605
NCT converse (ours),200,3,6.15848e-08,0.492465
NCT converse (ours),200,3,1.52831e-07,0.501662
NCT converse (ours),200,3,3.79269e-07,0.511226
NCT converse (ours),200,3,9.41205e-07,0.521195
NCT converse (ours),200,3,2.33572e-06,0.531613
NCT converse (ours),200,3,5.79639e-06,0.54253
NCT converse (ours),200,3,1.43845e-05,0.554011
NCT converse (ours),200,3,3.5697e-05,0.56613
NCT converse (ours),200,3,8.85867e-05,0.578983
NCT converse (ours),200,3,0.000219839,0.592691
NCT converse (ours),200,3,0.000545559,0.607411
NCT converse (ours),200,3,0.00135388,0.623352
NCT converse (ours),200,3,0.00335982,0.640807
NCT converse (ours),200,3,0.00833782,0.660203
NCT converse (ours),200,3,0.0206914,0.682205
NCT converse (ours),200,3,0.0513483,0.707951
NCT converse (ours),200,3,0.127427,0.73969
NCT converse (ours),200,3,0.316228,0.783211
$\chi^2$ converse (Polyanskiy),200,3,1e-08,0.482009
$\chi^2$ converse (Polyanskiy),200,3,2.48163e-08,0.490189
$\chi^2$ converse (Polyanskiy),200,3,6.15848e-08,0.498678
$\chi^2$ converse (Polyanskiy),200,3,1.52831e-07,0.507504
$\chi^2$ converse (Polyanskiy),200,3,3.79269e-07,0.5167
$\chi^2$ converse (Polyanskiy),200,3,9.41205e-07,0.526303
$\chi^2$ converse (Polyanskiy),200,3,2.33572e-06,0.536355
$\chi^2$ converse (Polyanskiy),200,3,5.79639e-06,0.54691
$\chi^2$ converse (Polyanskiy),200,3,1.43845e-05,0.558031
$\chi^2$ converse (Polyanskiy),200,3,3.5697e-05,0.569794
$\chi^2$ converse (Polyanskiy),200,3,8.85867e-05,0.582295
$\chi^2$ converse (Polyanskiy),200,3,0.000219839,0.595655
$\chi^2$ converse (Polyanskiy),200,3,0.000545559,0.610032
$\chi^2$ converse (Polyanskiy),200,3,0.00135388,0.625638
$\chi^2$ converse (Polyanskiy),200,3,0.00335982,0.642768
$\chi^2$ converse (Polyanskiy),200,3,0.00833782,0.66185
$\chi^2$ converse (Polyanskiy),200,3,0.0206914,0.683554
$\chi^2$ converse (Polyanskiy),200,3,0.0513483,0.709027
$\chi^2$ converse (Polyanskiy),200,3,0.127427,0.740533
$\chi^2$ converse (Polyanskiy),200,3,0.316228,0.783907
RCU$^+$ achievable (ours),200,3,1e-08,0.462685
