curve,n,snr_db,epsilon,rate_bits
Shannon capacity,200,-3,1e-08,0.293052
Shannon capacity,200,-3,2.48163e-08,0.293052
Shannon capacity,200,-3,6.15848e-08,0.293052
Shannon capacity,200,-3,1.52831e-07,0.293052
Shannon capacity,200,-3,3.79269e-07,0.293052
Shannon capacity,200,-3,9.41205e-07,0.293052
Shannon capacity,200,-3,2.33572e-06,0.293052
Shannon capacity,200,-3,5.79639e-06,0.293052
Shannon capacity,200,-3,1.43845e-05,0.293052
Shannon capacity,200,-3,3.5697e-05,0.293052
Shannon capacity,200,-3,8.85867e-05,0.293052
Shannon capacity,200,-3,0.000219839,0.293052
Shannon capacity,200,-3,0.000545559,0.293052
Shannon capacity,200,-3,0.00135388,0.293052
Shannon capacity,200,-3,0.00335982,0.293052
Shannon capacity,200,-3,0.00833782,0.293052
Shannon capacity,200,-3,0.0206914,0.293052
Shannon capacity,200,-3,0.0513483,0.293052
Shannon capacity,200,-3,0.127427,0.293052
Shannon capacity,200,-3,0.316228,0.293052
NCT converse (ours),200,-3,1e-08,0.0802277
NCT converse (ours),200,-3,2.48163e-08,0.0848574
NCT converse (ours),200,-3,6.15848e-08,0.0897513
NCT converse (ours),200,-3,1.52831e-07,0.0949319
NCT converse (ours),200,-3,3.79269e-07,0.100425
NCT converse (ours),200,-3,9.41205e-07,0.106262
NCT converse (ours),200,-3,2.33572e-06,0.112478
NCT converse (ours),200,-3,5.79639e-06,0.119116
NCT converse (ours),200,-3,1.43845e-05,0.126226
NCT converse (ours),200,-3,3.5697e-05,0.133873
NCT converse (ours),200,-3,8.85867e-05,0.142133
NCT converse (ours),200,-3,0.000219839,0.151106
NCT converse (ours),200,-3,0.000545559,0.16092
NCT converse (ours),200,-3,0.00135388,0.171748
NCT converse (ours),200,-3,0.00335982,0.183831
NCT converse (ours),200,-3,0.00833782,0.197518
NCT converse (ours),200,-3,0.0206914,0.213358
NCT converse (ours),200,-3,0.0513483,0.232288
NCT converse (ours),200,-3,0.127427,0.256164
NCT converse (ours),200,-3,0.316228,0.28978
RCU+ achievable (ours),200,-3,1e-08,0
RCU+ achievable (ours),200,-3,2.48163e-08,0.0639398
RCU+ achievable (ours),200,-3,6.15848e-08,0.0705014
RCU+ achievable (ours),200,-3,1.52831e-07,0.0771762
RCU+ achievable (ours),200,-3,3.79269e-07,0.0839967
RCU+ achievable (ours),200,-3,9.41205e-07,0.0910046
RCU+ achievable (ours),200,-3,2.33572e-06,0.0982513
RCU+ achievable (ours),200,-3,5.79639e-06,0.105796
RCU+ achievable (ours),200,-3,1.43845e-05,0.113706
RCU+ achievable (ours),200,-3,3.5697e-05,0.122059
RCU+ achievable (ours),200,-3,8.85867e-05,0.130948
RCU+ achievable (ours),200,-3,0.000219839,0.140483
RCU+ achievable (ours),200,-3,0.000545559,0.150804
RCU+ achievable (ours),200,-3,0.00135388,0.162092
RCU+ achievable (ours),200,-3,0.00335982,0.174597
RCU+ achievable (ours),200,-3,0.00833782,0.188678
RCU+ achievable (ours),200,-3,0.0206914,0.204888
RCU+ achievable (ours),200,-3,0.0513483,0.224176
RCU+ achievable (ours),200,-3,0.127427,0.24841
RCU+ achievable (ours),200,-3,0.316228,0.282412
Gallager achievable (avg err),200,-3,1e-08,0.0164556
Gallager achievable (avg err),200,-3,2.48163e-08,0.023002
Gallager achievable (avg err),200,-3,6.15848e-08,0.0295663
Gallager achievable (avg err),200,-3,1.52831e-07,0.0361128
Gallager achievable (avg err),200,-3,3.79269e-07,0.0426771
Gallager achievable (avg err),200,-3,9.41205e-07,0.0492236
Gallager achievable (avg err),200,-3,2.33572e-06,0.0557879
Gallager achievable (avg err),200,-3,5.79639e-06,0.0623522
Gallager achievable (avg err),200,-3,1.43845e-05,0.0688987
Gallager achievable (avg err),200,-3,3.5697e-05,0.075463
Gallager achievable (avg err),200,-3,8.85867e-05,0.0820095
Gallager achievable (avg err),200,-3,0.000219839,0.0885738
Gallager achievable (avg err),200,-3,0.000545559,0.0951203
Gallager achievable (avg err),200,-3,0.00135388,0.102024
Gallager achievable (avg err),200,-3,0.00335982,0.109519
Gallager achievable (avg err),200,-3,0.00833782,0.117711
Gallager achievable (avg err),200,-3,0.0206914,0.126779
Gallager achievable (avg err),200,-3,0.0513483,0.136885
Gallager achievable (avg err),200,-3,0.127427,0.148368
Gallager achievable (avg err),200,-3,0.316228,0.161676
$\kappa\beta$ achievable v2 (max err),200,-3,1e-08,-0.0546132
$\kappa\beta$ achievable v2 (max err),200,-3,2.48163e-08,-0.0438904
$\kappa\beta$ achievable v2 (max err),200,-3,6.15848e-08,-0.0329237
$\kappa\beta$ achievable v2 (max err),200,-3,1.52831e-07,-0.0217036
$\kappa\beta$ achievable v2 (max err),200,-3,3.79269e-07,-0.0101912
$\kappa\beta$ achievable v2 (max err),200,-3,9.41205e-07,0.00162857
$\kappa\beta$ achievable v2 (max err),200,-3,2.33572e-06,0.0137968
$\kappa\beta$ achievable v2 (max err),200,-3,5.79639e-06,0.0263527
$\kappa\beta$ achievable v2 (max err),200,-3,1.43845e-05,0.0393393
$\kappa\beta$ achievable v2 (max err),200,-3,3.5697e-05,0.0528195
$\kappa\beta$ achievable v2 (max err),200,-3,8.85867e-05,0.0668684
$\kappa\beta$ achievable v2 (max err),200,-3,0.000219839,0.0815728
$\kappa\beta$ achievable v2 (max err),200,-3,0.000545559,0.0970528
$\kappa\beta$ achievable v2 (max err),200,-3,0.00135388,0.113468
$\kappa\beta$ achievable v2 (max err),200,-3,0.00335982,0.131041
$\kappa\beta$ achievable v2 (max err),200,-3,0.00833782,0.150089
$\kappa\beta$ achievable v2 (max err),200,-3,0.0206914,0.171107
$\kappa\beta$ achievable v2 (max err),200,-3,0.0513483,0.194964
$\kappa\beta$ achievable v2 (max err),200,-3,0.127427,0.223299
$\kappa\beta$ achievable v2 (max err),200,-3,0.316228,0.260342
Normal approximation,200,-3,1e-08,0.0102356
Normal approximation,200,-3,2.48163e-08,0.0188102
Normal approximation,200,-3,6.15848e-08,0.0276277
Normal approximation,200,-3,1.52831e-07,0.0367095
Normal approximation,200,-3,3.79269e-07,0.0460803
Normal approximation,200,-3,9.41205e-07,0.0557691
Normal approximation,200,-3,2.33572e-06,0.0658097
Normal approximation,200,-3,5.79639e-06,0.0762425
Normal approximation,200,-3,1.43845e-05,0.0871161
Normal approximation,200,-3,3.5697e-05,0.0984897
Normal approximation,200,-3,8.85867e-05,0.110437
Normal approximation,200,-3,0.000219839,0.123052
Normal approximation,200,-3,0.000545559,0.136455
Normal approximation,200,-3,0.00135388,0.15081
Normal approximation,200,-3,0.00335982,0.16634
Normal approximation,200,-3,0.00833782,0.183376
Normal approximation,200,-3,0.0206914,0.202427
Normal approximation,200,-3,0.0513483,0.224364
Normal approximation,200,-3,0.127427,0.250903
Normal approximation,200,-3,0.316228,0.28643
