curve,epsilon,snr_db,n,rate_bits
Shannon capacity,0.01,0,30,0.5
Shannon capacity,0.01,0,112,0.5
Shannon capacity,0.01,0,194,0.5
Shannon capacity,0.01,0,276,0.5
Shannon capacity,0.01,0,358,0.5
Shannon capacity,0.01,0,440,0.5
Shannon capacity,0.01,0,522,0.5
Shannon capacity,0.01,0,605,0.5
Shannon capacity,0.01,0,687,0.5
Shannon capacity,0.01,0,769,0.5
Shannon capacity,0.01,0,851,0.5
Shannon capacity,0.01,0,933,0.5
Shannon capacity,0.01,0,1015,0.5
Shannon capacity,0.01,0,1097,0.5
Shannon capacity,0.01,0,1179,0.5
Shannon capacity,0.01,0,1261,0.5
Shannon capacity,0.01,0,1343,0.5
Shannon capacity,0.01,0,1425,0.5
Shannon capacity,0.01,0,1508,0.5
Shannon capacity,0.01,0,1590,0.5
Shannon capacity,0.01,0,1672,0.5
Shannon capacity,0.01,0,1754,0.5
Shannon capacity,0.01,0,1836,0.5
Shannon capacity,0.01,0,1918,0.5
Shannon capacity,0.01,0,2000,0.5
NCT converse (ours),0.01,0,30,0.283439
NCT converse (ours),0.01,0,112,0.358612
NCT converse (ours),0.01,0,194,0.385252
NCT converse (ours),0.01,0,276,0.400371
NCT converse (ours),0.01,0,358,0.410515
NCT converse (ours),0.01,0,440,0.417957
NCT converse (ours),0.01,0,522,0.423731
NCT converse (ours),0.01,0,605,0.428439
NCT converse (ours),0.01,0,687,0.432294
NCT converse (ours),0.01,0,769,0.435563
NCT converse (ours),0.01,0,851,0.438382
NCT converse (ours),0.01,0,933,0.440848
NCT converse (ours),0.01,0,1015,0.443029
NCT converse (ours),0.01,0,1097,0.444977
NCT converse (ours),0.01,0,1179,0.446731
NCT converse (ours),0.01,0,1261,0.448322
NCT converse (ours),0.01,0,1343,0.449773
NCT converse (ours),0.01,0,1425,0.451105
NCT converse (ours),0.01,0,1508,0.452347
NCT converse (ours),0.01,0,1590,0.453483
NCT converse (ours),0.01,0,1672,0.454539
NCT converse (ours),0.01,0,1754,0.455524
NCT converse (ours),0.01,0,1836,0.456446
NCT converse (ours),0.01,0,1918,0.457311
NCT converse (ours),0.01,0,2000,0.458124
$\chi^2$ converse (Polyanskiy),0.01,0,30,0.292875
$\chi^2$ converse (Polyanskiy),0.01,0,112,0.361493
$\chi^2$ converse (Polyanskiy),0.01,0,194,0.386978
$\chi^2$ converse (Polyanskiy),0.01,0,276,0.401607
$\chi^2$ converse (Polyanskiy),0.01,0,358,0.41148
$\chi^2$ converse (Polyanskiy),0.01,0,440,0.418749
$\chi^2$ converse (Polyanskiy),0.01,0,522,0.424403
$\chi^2$ converse (Polyanskiy),0.01,0,605,0.429022
$\chi^2$ converse (Polyanskiy),0.01,0,687,0.43281
$\chi^2$ converse (Polyanskiy),0.01,0,769,0.436025
$\chi^2$ converse (Polyanskiy),0.01,0,851,0.438801
$\chi^2$ converse (Polyanskiy),0.01,0,933,0.441231
$\chi^2$ converse (Polyanskiy),0.01,0,1015,0.443382
$\chi^2$ converse (Polyanskiy),0.01,0,1097,0.445304
$\chi^2$ converse (Polyanskiy),0.01,0,1179,0.447036
$\chi^2$ converse (Polyanskiy),0.01,0,1261,0.448607
RCU$^+$ achievable (ours),0.01,0,30,0.206739
RCU$^+$ achievable (ours),0.01,0,112,0.342525
RCU$^+$ achievable (ours),0.01,0,194,0.376508
RCU$^+$ achievable (ours),0.01,0,276,0.394403
RCU$^+$ achievable (ours),0.01,0,358,0.405997
RCU$^+$ achievable (ours),0.01,0,440,0.414326
RCU$^+$ achievable (ours),0.01,0,522,0.420699
RCU$^+$ achievable (ours),0.01,0,605,0.425842
RCU$^+$ achievable (ours),0.01,0,687,0.43002
RCU$^+$ achievable (ours),0.01,0,769,0.433541
RCU$^+$ achievable (ours),0.01,0,851,0.436562
